023 1.22	 1.19	 1.14	 0.98	 0.99	 0.99	 1.14	 0.98	 0.98	 0.99	 0.99	 1.14	 0.98	 0.98	 0.99	 0.99	 0.97	 0.98	 0.98	 0.99	 0.99	 ambush_7/frame_0013.png
024 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 0.10	 ambush_7/frame_0023.png
025 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 0.30	 ambush_7/frame_0033.png
026 1.07	 1.07	 1.08	 1.09	 1.09	 1.09	 1.09	 1.09	 1.09	 1.09	 1.09	 1.10	 1.09	 1.09	 1.09	 1.09	 1.10	 1.09	 1.09	 1.09	 1.09	 ambush_7/frame_0043.png
027 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 0.25	 bamboo_1/frame_0004.png
028 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 0.28	 bamboo_1/frame_0014.png
029 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 bamboo_1/frame_0024.png
030 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 0.35	 bamboo_1/frame_0034.png
031 0.39	 0.39	 0.39	 0.39	 0.40	 0.40	 0.39	 0.39	 0.40	 0.40	 0.40	 0.39	 0.40	 0.40	 0.40	 0.40	 0.39	 0.40	 0.40	 0.40	 0.40	 bamboo_1/frame_0044.png
032 0.23	 0.23	 0.23	 0.23	 0.23	 0.23	 0.23	 0.23	 0.23	 0.23	 0.23	 0.23	 0.23	 0.23	 0.23	 0.23	 0.23	 0.23	 0.23	 0.23	 0.23	 bamboo_2/frame_0005.png
033 0.74	 0.74	 0.74	 0.73	 0.73	 0.73	 0.74	 0.73	 0.74	 0.73	 0.73	 0.73	 0.73	 0.74	 0.73	 0.73	 0.73	 0.74	 0.74	 0.74	 0.73	 bamboo_2/frame_0015.png
034 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.44	 0.45	 bamboo_2/frame_0025.png
035 0.73	 0.73	 0.72	 0.70	 0.70	 0.70	 0.73	 0.71	 0.70	 0.70	 0.70	 0.73	 0.71	 0.70	 0.70	 0.70	 0.73	 0.71	 0.70	 0.70	 0.70	 bamboo_2/frame_0035.png
036 2.18	 2.18	 2.03	 1.99	 1.96	 1.96	 2.03	 1.99	 1.99	 1.96	 1.96	 1.99	 1.99	 1.99	 1.96	 1.96	 2.00	 1.99	 1.99	 1.96	 1.96	 bamboo_2/frame_0045.png
037 0.55	 0.55	 0.55	 0.54	 0.51	 0.51	 0.55	 0.51	 0.51	 0.51	 0.51	 0.54	 0.51	 0.52	 0.52	 0.52	 0.51	 0.51	 0.52	 0.52	 0.52	 bandage_1/frame_0006.png
038 0.76	 0.76	 0.76	 0.70	 0.69	 0.69	 0.76	 0.73	 0.69	 0.69	 0.69	 0.75	 0.69	 0.69	 0.69	 0.69	 0.74	 0.69	 0.69	 0.69	 0.69	 bandage_1/frame_0016.png
039 0.25	 0.25	 0.25	 0.24	 0.24	 0.24	 0.25	 0.24	 0.24	 0.24	 0.25	 0.24	 0.24	 0.24	 0.24	 0.25	 0.24	 0.24	 0.24	 0.24	 0.25	 bandage_1/frame_0026.png
040 0.27	 0.27	 0.26	 0.25	 0.23	 0.23	 0.27	 0.25	 0.22	 0.22	 0.22	 0.26	 0.22	 0.22	 0.22	 0.22	 0.23	 0.22	 0.22	 0.22	 0.22	 bandage_1/frame_0036.png
041 0.72	 0.72	 0.71	 0.66	 0.65	 0.65	 0.71	 0.65	 0.65	 0.65	 0.65	 0.66	 0.65	 0.59	 0.59	 0.58	 0.65	 0.59	 0.59	 0.58	 0.58	 bandage_1/frame_0046.png
